imageid imageid_train imageid_test if_in_trainset(other_in_testset) imgpath
3592 2482 1110 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00168.jpg
3593 2483 1110 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00169.jpg
3594 2484 1110 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00170.jpg
3595 2485 1110 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00171.jpg
3596 2486 1110 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00172.jpg
3597 2487 1110 0 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00173.jpg
3598 2487 1111 0 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00174.jpg
3599 2487 1112 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00175.jpg
3600 2488 1112 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00176.jpg
3601 2489 1112 0 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00177.jpg
3602 2489 1113 0 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00178.jpg
3603 2489 1114 0 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00179.jpg
3604 2489 1115 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00180.jpg
3605 2490 1115 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00181.jpg
3606 2491 1115 0 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00182.jpg
3607 2491 1116 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00183.jpg
3608 2492 1116 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00184.jpg
3609 2493 1116 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00185.jpg
3610 2494 1116 0 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00186.jpg
3611 2494 1117 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00187.jpg
3612 2495 1117 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00188.jpg
3613 2496 1117 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00189.jpg
3614 2497 1117 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00190.jpg
3615 2498 1117 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00191.jpg
3616 2499 1117 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00192.jpg
3617 2500 1117 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00193.jpg
3618 2501 1117 0 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00194.jpg
3619 2501 1118 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00195.jpg
3620 2502 1118 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00196.jpg
3621 2503 1118 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00197.jpg
3622 2504 1118 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00198.jpg
3623 2505 1118 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00199.jpg
3624 2506 1118 0 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00200.jpg
3625 2506 1119 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00201.jpg
3626 2507 1119 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00202.jpg
3627 2508 1119 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00203.jpg
3628 2509 1119 0 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00204.jpg
3629 2509 1120 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00205.jpg
3630 2510 1120 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00206.jpg
3631 2511 1120 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00207.jpg
3632 2512 1120 0 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00208.jpg
3633 2512 1121 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00209.jpg
3634 2513 1121 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00210.jpg
3635 2514 1121 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00211.jpg
3636 2515 1121 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00212.jpg
3637 2516 1121 0 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00213.jpg
3638 2516 1122 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00214.jpg
3639 2517 1122 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00215.jpg
3640 2518 1122 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00216.jpg
3641 2519 1122 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00217.jpg
3642 2520 1122 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00218.jpg
3643 2521 1122 0 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00219.jpg
3644 2521 1123 0 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00220.jpg
3645 2521 1124 0 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00221.jpg
3646 2521 1125 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00222.jpg
3647 2522 1125 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00223.jpg
3648 2523 1125 0 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00224.jpg
3649 2523 1126 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00225.jpg
3650 2524 1126 0 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00226.jpg
3651 2524 1127 0 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00227.jpg
3652 2524 1128 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00228.jpg
3653 2525 1128 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00229.jpg
3654 2526 1128 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00230.jpg
3655 2527 1128 0 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00231.jpg
3656 2527 1129 0 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00232.jpg
3657 2527 1130 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00233.jpg
3658 2528 1130 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00234.jpg
3659 2529 1130 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00235.jpg
3660 2530 1130 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00236.jpg
3661 2531 1130 0 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00237.jpg
3662 2531 1131 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00238.jpg
3663 2532 1131 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00239.jpg
3664 2533 1131 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00240.jpg
3665 2534 1131 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00241.jpg
3666 2535 1131 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00242.jpg
3667 2536 1131 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00243.jpg
3668 2537 1131 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00244.jpg
3669 2538 1131 0 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00245.jpg
3670 2538 1132 0 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00246.jpg
3671 2538 1133 0 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00247.jpg
3672 2538 1134 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00248.jpg
3673 2539 1134 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00249.jpg
3674 2540 1134 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00250.jpg
3675 2541 1134 0 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00251.jpg
3676 2541 1135 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00252.jpg
3677 2542 1135 0 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00253.jpg
3678 2542 1136 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00254.jpg
3679 2543 1136 0 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00255.jpg
3680 2543 1137 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00256.jpg
3681 2544 1137 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00257.jpg
3682 2545 1137 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00258.jpg
3683 2546 1137 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00259.jpg
3684 2547 1137 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00260.jpg
3685 2548 1137 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00261.jpg
3686 2549 1137 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00262.jpg
3687 2550 1137 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00263.jpg
3688 2551 1137 0 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00264.jpg
3689 2551 1138 0 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00265.jpg
3690 2551 1139 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00266.jpg
3691 2552 1139 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00267.jpg
3692 2553 1139 0 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00268.jpg
3693 2553 1140 0 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00269.jpg
3694 2553 1141 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00270.jpg
3695 2554 1141 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00271.jpg
3696 2555 1141 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00272.jpg
3697 2556 1141 0 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00273.jpg
3698 2556 1142 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00274.jpg
3699 2557 1142 0 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00275.jpg
3700 2557 1143 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00276.jpg
3701 2558 1143 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00277.jpg
3702 2559 1143 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00278.jpg
3703 2560 1143 0 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00279.jpg
3704 2560 1144 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00280.jpg
3705 2561 1144 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00281.jpg
3706 2562 1144 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00282.jpg
3707 2563 1144 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00283.jpg
3708 2564 1144 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00284.jpg
3709 2565 1144 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00285.jpg
3710 2566 1144 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00286.jpg
3711 2567 1144 0 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00287.jpg
3712 2567 1145 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00288.jpg
3713 2568 1145 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00289.jpg
3714 2569 1145 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00290.jpg
3715 2570 1145 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00291.jpg
3716 2571 1145 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00292.jpg
3717 2572 1145 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00293.jpg
3718 2573 1145 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00294.jpg
3719 2574 1145 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00295.jpg
3720 2575 1145 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00296.jpg
3721 2576 1145 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00297.jpg
3722 2577 1145 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00298.jpg
3723 2578 1145 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00299.jpg
3724 2579 1145 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00300.jpg
3725 2580 1145 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00301.jpg
3726 2581 1145 0 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00302.jpg
3727 2581 1146 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00303.jpg
3728 2582 1146 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00304.jpg
3729 2583 1146 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00305.jpg
3730 2584 1146 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00306.jpg
3731 2585 1146 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00307.jpg
3732 2586 1146 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00308.jpg
3733 2587 1146 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00309.jpg
3734 2588 1146 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00310.jpg
3735 2589 1146 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00311.jpg
3736 2590 1146 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00312.jpg
3737 2591 1146 0 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00313.jpg
3738 2591 1147 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00314.jpg
3739 2592 1147 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00315.jpg
3740 2593 1147 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00316.jpg
3741 2594 1147 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00317.jpg
3742 2595 1147 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00318.jpg
3743 2596 1147 0 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00319.jpg
3744 2596 1148 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00320.jpg
3745 2597 1148 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00321.jpg
3746 2598 1148 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00322.jpg
3747 2599 1148 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00323.jpg
3748 2600 1148 0 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00324.jpg
3749 2600 1149 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00325.jpg
3750 2601 1149 0 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00326.jpg
3751 2601 1150 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00327.jpg
3752 2602 1150 0 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00328.jpg
3753 2602 1151 0 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00329.jpg
3754 2602 1152 1 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00330.jpg
3755 2603 1152 0 /mfs/haoyu/project/AOCNN/InterpretableCNN_pytorch/data/ImagenetPartDataset/raw/detanimalpart/n01982650_obj/img/img/00331.jpg
